time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02
04:00:00,3040,Nesbyen,NA,NA,3040,Nesbyen,30,Viken,3273,2,2,3,3,3,4,4,5
04:00:00,3041,Gol,NA,NA,3041,Gol,30,Viken,4608,4,4,6,7,7,7,7,8
04:00:00,3042,Hemsedal,NA,NA,3042,Hemsedal,30,Viken,2486,7,7,7,7,7,8,8,8
04:00:00,3043,Ål,NA,NA,3043,Ål,30,Viken,4674,5,6,8,9,9,11,11,11
04:00:00,3044,Hol,NA,NA,3044,Hol,30,Viken,4441,24,31,34,37,37,39,39,43
04:00:00,3045,Sigdal,NA,NA,3045,Sigdal,30,Viken,3467,0,0,0,0,0,0,0,0
04:00:00,3046,Krødsherad,NA,NA,3046,Krødsherad,30,Viken,2212,0,0,0,0,0,0,0,0
04:00:00,3047,Modum,NA,NA,3047,Modum,30,Viken,14115,3,5,6,6,6,7,7,8
04:00:00,3048,Øvre Eiker,NA,NA,3048,Øvre Eiker,30,Viken,19423,2,3,3,3,3,3,3,4
04:00:00,3049,Lier,NA,NA,3049,Lier,30,Viken,26811,13,17,17,17,17,19,20,21
04:00:00,3050,Flesberg,NA,NA,3050,Flesberg,30,Viken,2688,1,1,1,1,1,1,1,1
04:00:00,3051,Rollag,NA,NA,3051,Rollag,30,Viken,1390,0,0,0,0,0,0,0,0
04:00:00,3052,Nore og Uvdal,NA,NA,3052,Nore og Uvdal,30,Viken,2439,1,1,1,1,1,1,1,1
04:00:00,3053,Jevnaker,NA,NA,3053,Jevnaker,30,Viken,6852,5,5,5,5,5,5,5,5
04:00:00,3054,Lunner,NA,NA,3054,Lunner,30,Viken,9048,2,2,2,4,4,4,5,9
04:00:00,3401,Kongsvinger,NA,NA,3401,Kongsvinger,34,Innlandet,17829,0,1,1,1,1,1,1,1
04:00:00,3403,Hamar,NA,NA,3403,Hamar,34,Innlandet,31369,15,30,35,36,41,51,60,65
04:00:00,3405,Lillehammer,NA,NA,3405,Lillehammer,34,Innlandet,28345,13,22,23,25,25,26,26,27
04:00:00,3407,Gjøvik,NA,NA,3407,Gjøvik,34,Innlandet,30560,7,7,7,8,9,11,13,14
04:00:00,3411,Ringsaker,NA,NA,3411,Ringsaker,34,Innlandet,34768,25,33,33,38,41,47,53,54
04:00:00,3412,Løten,NA,NA,3412,Løten,34,Innlandet,7674,3,6,6,7,8,9,11,11
04:00:00,3413,Stange,NA,NA,3413,Stange,34,Innlandet,21064,2,7,15,18,19,23,29,30
04:00:00,3414,Nord-Odal,NA,NA,3414,Nord-Odal,34,Innlandet,5016,0,0,0,0,0,0,0,0
04:00:00,3415,Sør-Odal,NA,NA,3415,Sør-Odal,34,Innlandet,7905,8,8,8,9,9,10,10,10
04:00:00,3416,Eidskog,NA,NA,3416,Eidskog,34,Innlandet,6106,3,3,3,3,3,3,3,3
04:00:00,3417,Grue,NA,NA,3417,Grue,34,Innlandet,4612,0,1,3,3,3,3,3,4
04:00:00,3418,Åsnes,NA,NA,3418,Åsnes,34,Innlandet,7203,1,1,1,1,2,2,3,3
04:00:00,3419,Våler (Innlandet),NA,NA,3419,Våler (Innlandet),34,Innlandet,3662,1,1,1,1,1,1,1,1
04:00:00,3420,Elverum,NA,NA,3420,Elverum,34,Innlandet,21254,5,7,7,7,7,9,10,11
04:00:00,3421,Trysil,NA,NA,3421,Trysil,34,Innlandet,6627,0,0,0,0,0,1,1,1
04:00:00,3422,Åmot,NA,NA,3422,Åmot,34,Innlandet,4356,1,1,1,1,1,1,1,1
04:00:00,3423,Stor-Elvdal,NA,NA,3423,Stor-Elvdal,34,Innlandet,2419,0,0,0,0,0,0,0,0
04:00:00,3424,Rendalen,NA,NA,3424,Rendalen,34,Innlandet,1780,0,0,0,0,0,0,0,0
04:00:00,3425,Engerdal,NA,NA,3425,Engerdal,34,Innlandet,1268,1,1,2,2,2,2,2,2
04:00:00,3426,Tolga,NA,NA,3426,Tolga,34,Innlandet,1562,0,0,0,0,0,0,0,0
04:00:00,3427,Tynset,NA,NA,3427,Tynset,34,Innlandet,5578,0,0,0,0,0,0,0,0
04:00:00,3428,Alvdal,NA,NA,3428,Alvdal,34,Innlandet,2432,1,1,1,1,1,1,1,1
04:00:00,3429,Folldal,NA,NA,3429,Folldal,34,Innlandet,1545,0,0,0,0,0,0,0,0
04:00:00,3430,Os,NA,NA,3430,Os,34,Innlandet,1891,0,0,0,0,0,0,0,0
04:00:00,3431,Dovre,NA,NA,3431,Dovre,34,Innlandet,2553,1,2,2,2,2,3,4,5
04:00:00,3432,Lesja,NA,NA,3432,Lesja,34,Innlandet,1975,0,0,0,0,0,1,1,1
04:00:00,3433,Skjåk,NA,NA,3433,Skjåk,34,Innlandet,2197,1,1,1,1,1,1,1,1
04:00:00,3434,Lom,NA,NA,3434,Lom,34,Innlandet,2228,0,1,3,3,3,3,3,3
04:00:00,3435,Vågå,NA,NA,3435,Vågå,34,Innlandet,3570,1,1,1,1,1,1,1,1
04:00:00,3436,Nord-Fron,NA,NA,3436,Nord-Fron,34,Innlandet,5723,6,9,10,12,12,13,13,13
04:00:00,3437,Sel,NA,NA,3437,Sel,34,Innlandet,5739,34,35,35,35,35,35,35,36
04:00:00,3438,Sør-Fron,NA,NA,3438,Sør-Fron,34,Innlandet,3119,0,0,0,1,1,1,1,1
04:00:00,3439,Ringebu,NA,NA,3439,Ringebu,34,Innlandet,4392,4,4,6,6,6,6,7,7
04:00:00,3440,Øyer,NA,NA,3440,Øyer,34,Innlandet,5100,0,0,0,0,0,1,1,1
04:00:00,3441,Gausdal,NA,NA,3441,Gausdal,34,Innlandet,6106,3,4,4,4,4,5,5,5
04:00:00,3442,Østre Toten,NA,NA,3442,Østre Toten,34,Innlandet,14973,3,4,4,4,4,4,4,4
04:00:00,3443,Vestre Toten,NA,NA,3443,Vestre Toten,34,Innlandet,13427,2,3,3,4,4,5,5,9
04:00:00,3446,Gran,NA,NA,3446,Gran,34,Innlandet,13630,0,3,6,6,6,7,9,9
04:00:00,3447,Søndre Land,NA,NA,3447,Søndre Land,34,Innlandet,5617,0,0,0,0,0,0,0,0
04:00:00,3448,Nordre Land,NA,NA,3448,Nordre Land,34,Innlandet,6633,0,0,0,0,0,0,1,1
04:00:00,3449,Sør-Aurdal,NA,NA,3449,Sør-Aurdal,34,Innlandet,2954,0,0,0,0,0,0,0,0
04:00:00,3450,Etnedal,NA,NA,3450,Etnedal,34,Innlandet,1279,0,0,0,0,0,0,0,0
04:00:00,3451,Nord-Aurdal,NA,NA,3451,Nord-Aurdal,34,Innlandet,6413,5,5,6,6,6,6,8,8
