date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,3401,Kongsvinger,34,Innlandet,17829,0
2020-03-26,2020-03-26T04:00:00Z,3403,Hamar,34,Innlandet,31369,15
2020-03-26,2020-03-26T04:00:00Z,3405,Lillehammer,34,Innlandet,28345,13
2020-03-26,2020-03-26T04:00:00Z,3407,Gjøvik,34,Innlandet,30560,7
2020-03-26,2020-03-26T04:00:00Z,3411,Ringsaker,34,Innlandet,34768,25
2020-03-26,2020-03-26T04:00:00Z,3412,Løten,34,Innlandet,7674,3
2020-03-26,2020-03-26T04:00:00Z,3413,Stange,34,Innlandet,21064,2
2020-03-26,2020-03-26T04:00:00Z,3414,Nord-Odal,34,Innlandet,5016,0
2020-03-26,2020-03-26T04:00:00Z,3415,Sør-Odal,34,Innlandet,7905,8
2020-03-26,2020-03-26T04:00:00Z,3416,Eidskog,34,Innlandet,6106,3
2020-03-26,2020-03-26T04:00:00Z,3417,Grue,34,Innlandet,4612,0
2020-03-26,2020-03-26T04:00:00Z,3418,Åsnes,34,Innlandet,7203,1
2020-03-26,2020-03-26T04:00:00Z,3419,Våler (Innlandet),34,Innlandet,3662,1
2020-03-26,2020-03-26T04:00:00Z,3420,Elverum,34,Innlandet,21254,5
2020-03-26,2020-03-26T04:00:00Z,3421,Trysil,34,Innlandet,6627,0
2020-03-26,2020-03-26T04:00:00Z,3422,Åmot,34,Innlandet,4356,1
2020-03-26,2020-03-26T04:00:00Z,3423,Stor-Elvdal,34,Innlandet,2419,0
2020-03-26,2020-03-26T04:00:00Z,3424,Rendalen,34,Innlandet,1780,0
2020-03-26,2020-03-26T04:00:00Z,3425,Engerdal,34,Innlandet,1268,1
2020-03-26,2020-03-26T04:00:00Z,3426,Tolga,34,Innlandet,1562,0
2020-03-26,2020-03-26T04:00:00Z,3427,Tynset,34,Innlandet,5578,0
2020-03-26,2020-03-26T04:00:00Z,3428,Alvdal,34,Innlandet,2432,1
2020-03-26,2020-03-26T04:00:00Z,3429,Folldal,34,Innlandet,1545,0
2020-03-26,2020-03-26T04:00:00Z,3430,Os,34,Innlandet,1891,0
2020-03-26,2020-03-26T04:00:00Z,3431,Dovre,34,Innlandet,2553,1
2020-03-26,2020-03-26T04:00:00Z,3432,Lesja,34,Innlandet,1975,0
2020-03-26,2020-03-26T04:00:00Z,3433,Skjåk,34,Innlandet,2197,1
2020-03-26,2020-03-26T04:00:00Z,3434,Lom,34,Innlandet,2228,0
2020-03-26,2020-03-26T04:00:00Z,3435,Vågå,34,Innlandet,3570,1
2020-03-26,2020-03-26T04:00:00Z,3436,Nord-Fron,34,Innlandet,5723,6
2020-03-26,2020-03-26T04:00:00Z,3437,Sel,34,Innlandet,5739,34
2020-03-26,2020-03-26T04:00:00Z,3438,Sør-Fron,34,Innlandet,3119,0
2020-03-26,2020-03-26T04:00:00Z,3439,Ringebu,34,Innlandet,4392,4
2020-03-26,2020-03-26T04:00:00Z,3440,Øyer,34,Innlandet,5100,0
2020-03-26,2020-03-26T04:00:00Z,3441,Gausdal,34,Innlandet,6106,3
2020-03-26,2020-03-26T04:00:00Z,3442,Østre Toten,34,Innlandet,14973,3
2020-03-26,2020-03-26T04:00:00Z,3443,Vestre Toten,34,Innlandet,13427,2
2020-03-26,2020-03-26T04:00:00Z,3446,Gran,34,Innlandet,13630,0
2020-03-26,2020-03-26T04:00:00Z,3447,Søndre Land,34,Innlandet,5617,0
2020-03-26,2020-03-26T04:00:00Z,3448,Nordre Land,34,Innlandet,6633,0
2020-03-26,2020-03-26T04:00:00Z,3449,Sør-Aurdal,34,Innlandet,2954,0
2020-03-26,2020-03-26T04:00:00Z,3450,Etnedal,34,Innlandet,1279,0
2020-03-26,2020-03-26T04:00:00Z,3451,Nord-Aurdal,34,Innlandet,6413,5
2020-03-26,2020-03-26T04:00:00Z,3452,Vestre Slidre,34,Innlandet,2125,0
2020-03-26,2020-03-26T04:00:00Z,3453,Øystre Slidre,34,Innlandet,3229,0
2020-03-26,2020-03-26T04:00:00Z,3454,Vang,34,Innlandet,1578,0
2020-03-26,2020-03-26T04:00:00Z,3801,Horten,38,Vestfold og Telemark,27351,15
2020-03-26,2020-03-26T04:00:00Z,3802,Holmestrand,38,Vestfold og Telemark,24699,10
2020-03-26,2020-03-26T04:00:00Z,3803,Tønsberg,38,Vestfold og Telemark,56293,18
2020-03-26,2020-03-26T04:00:00Z,3804,Sandefjord,38,Vestfold og Telemark,63764,20
2020-03-26,2020-03-26T04:00:00Z,3805,Larvik,38,Vestfold og Telemark,47204,5
2020-03-26,2020-03-26T04:00:00Z,3806,Porsgrunn,38,Vestfold og Telemark,36397,5
2020-03-26,2020-03-26T04:00:00Z,3807,Skien,38,Vestfold og Telemark,54942,24
2020-03-26,2020-03-26T04:00:00Z,3808,Notodden,38,Vestfold og Telemark,13049,4
2020-03-26,2020-03-26T04:00:00Z,3811,Færder,38,Vestfold og Telemark,26730,19
2020-03-26,2020-03-26T04:00:00Z,3812,Siljan,38,Vestfold og Telemark,2340,0
2020-03-26,2020-03-26T04:00:00Z,3813,Bamble,38,Vestfold og Telemark,14061,2
2020-03-26,2020-03-26T04:00:00Z,3814,Kragerø,38,Vestfold og Telemark,10380,0
2020-03-26,2020-03-26T04:00:00Z,3815,Drangedal,38,Vestfold og Telemark,4060,0
2020-03-26,2020-03-26T04:00:00Z,3816,Nome,38,Vestfold og Telemark,6515,0
2020-03-26,2020-03-26T04:00:00Z,3817,Midt-Telemark,38,Vestfold og Telemark,10444,0
2020-03-26,2020-03-26T04:00:00Z,3818,Tinn,38,Vestfold og Telemark,5691,0
2020-03-26,2020-03-26T04:00:00Z,3819,Hjartdal,38,Vestfold og Telemark,1573,0
2020-03-26,2020-03-26T04:00:00Z,3820,Seljord,38,Vestfold og Telemark,2888,0
2020-03-26,2020-03-26T04:00:00Z,3821,Kviteseid,38,Vestfold og Telemark,2403,0
2020-03-26,2020-03-26T04:00:00Z,3822,Nissedal,38,Vestfold og Telemark,1448,0
2020-03-26,2020-03-26T04:00:00Z,3823,Fyresdal,38,Vestfold og Telemark,1287,0
2020-03-26,2020-03-26T04:00:00Z,3824,Tokke,38,Vestfold og Telemark,2201,0
2020-03-26,2020-03-26T04:00:00Z,3825,Vinje,38,Vestfold og Telemark,3676,0
2020-03-26,2020-03-26T04:00:00Z,4201,Risør,42,Agder,6809,0
2020-03-26,2020-03-26T04:00:00Z,4202,Grimstad,42,Agder,23544,1
2020-03-26,2020-03-26T04:00:00Z,4203,Arendal,42,Agder,44999,16
2020-03-26,2020-03-26T04:00:00Z,4204,Kristiansand,42,Agder,111633,80
2020-03-26,2020-03-26T04:00:00Z,4205,Lindesnes,42,Agder,23046,4
2020-03-26,2020-03-26T04:00:00Z,4206,Farsund,42,Agder,9691,11
2020-03-26,2020-03-26T04:00:00Z,4207,Flekkefjord,42,Agder,9028,0
