date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,1857,Værøy,,,1857,Værøy,18,Nordland,728,0
2020-03-26,2020-03-26T04:00:00Z,1859,Flakstad,,,1859,Flakstad,18,Nordland,1272,0
2020-03-26,2020-03-26T04:00:00Z,1860,Vestvågøy,,,1860,Vestvågøy,18,Nordland,11433,1
2020-03-26,2020-03-26T04:00:00Z,1865,Vågan,,,1865,Vågan,18,Nordland,9608,2
2020-03-26,2020-03-26T04:00:00Z,1866,Hadsel,,,1866,Hadsel,18,Nordland,8061,3
2020-03-26,2020-03-26T04:00:00Z,1867,Bø,,,1867,Bø,18,Nordland,2569,0
2020-03-26,2020-03-26T04:00:00Z,1868,Øksnes,,,1868,Øksnes,18,Nordland,4410,0
2020-03-26,2020-03-26T04:00:00Z,1870,Sortland,,,1870,Sortland,18,Nordland,10566,1
2020-03-26,2020-03-26T04:00:00Z,1871,Andøy,,,1871,Andøy,18,Nordland,4663,0
2020-03-26,2020-03-26T04:00:00Z,1874,Moskenes,,,1874,Moskenes,18,Nordland,1015,0
2020-03-26,2020-03-26T04:00:00Z,1875,Hamarøy,,,1875,Hamarøy,18,Nordland,2766,0
2020-03-26,2020-03-26T04:00:00Z,3001,Halden,,,3001,Halden,30,Viken,31373,5
2020-03-26,2020-03-26T04:00:00Z,3002,Moss,,,3002,Moss,30,Viken,49273,17
2020-03-26,2020-03-26T04:00:00Z,3003,Sarpsborg,,,3003,Sarpsborg,30,Viken,56732,19
2020-03-26,2020-03-26T04:00:00Z,3004,Fredrikstad,,,3004,Fredrikstad,30,Viken,82385,33
2020-03-26,2020-03-26T04:00:00Z,3005,Drammen,,,3005,Drammen,30,Viken,101386,55
2020-03-26,2020-03-26T04:00:00Z,3006,Kongsberg,,,3006,Kongsberg,30,Viken,27723,14
2020-03-26,2020-03-26T04:00:00Z,3007,Ringerike,,,3007,Ringerike,30,Viken,30641,2
2020-03-26,2020-03-26T04:00:00Z,3011,Hvaler,,,3011,Hvaler,30,Viken,4668,0
2020-03-26,2020-03-26T04:00:00Z,3012,Aremark,,,3012,Aremark,30,Viken,1325,0
2020-03-26,2020-03-26T04:00:00Z,3013,Marker,,,3013,Marker,30,Viken,3595,0
2020-03-26,2020-03-26T04:00:00Z,3014,Indre Østfold,,,3014,Indre Østfold,30,Viken,44792,25
2020-03-26,2020-03-26T04:00:00Z,3015,Skiptvet,,,3015,Skiptvet,30,Viken,3805,1
2020-03-26,2020-03-26T04:00:00Z,3016,Rakkestad,,,3016,Rakkestad,30,Viken,8255,0
2020-03-26,2020-03-26T04:00:00Z,3017,Råde,,,3017,Råde,30,Viken,7508,1
2020-03-26,2020-03-26T04:00:00Z,3018,Våler (Viken),,,3018,Våler (Viken),30,Viken,5736,1
2020-03-26,2020-03-26T04:00:00Z,3019,Vestby,,,3019,Vestby,30,Viken,18042,15
2020-03-26,2020-03-26T04:00:00Z,3020,Nordre Follo,,,3020,Nordre Follo,30,Viken,59288,51
2020-03-26,2020-03-26T04:00:00Z,3021,Ås,,,3021,Ås,30,Viken,20439,11
2020-03-26,2020-03-26T04:00:00Z,3022,Frogn,,,3022,Frogn,30,Viken,15877,14
2020-03-26,2020-03-26T04:00:00Z,3023,Nesodden,,,3023,Nesodden,30,Viken,19616,26
2020-03-26,2020-03-26T04:00:00Z,3024,Bærum,,,3024,Bærum,30,Viken,127731,186
2020-03-26,2020-03-26T04:00:00Z,3025,Asker,,,3025,Asker,30,Viken,94441,70
2020-03-26,2020-03-26T04:00:00Z,3026,Aurskog-Høland,,,3026,Aurskog-Høland,30,Viken,17390,2
2020-03-26,2020-03-26T04:00:00Z,3027,Rælingen,,,3027,Rælingen,30,Viken,18530,8
2020-03-26,2020-03-26T04:00:00Z,3028,Enebakk,,,3028,Enebakk,30,Viken,11110,16
2020-03-26,2020-03-26T04:00:00Z,3029,Lørenskog,,,3029,Lørenskog,30,Viken,41460,44
2020-03-26,2020-03-26T04:00:00Z,3030,Lillestrøm,,,3030,Lillestrøm,30,Viken,85983,77
2020-03-26,2020-03-26T04:00:00Z,3031,Nittedal,,,3031,Nittedal,30,Viken,24249,34
2020-03-26,2020-03-26T04:00:00Z,3032,Gjerdrum,,,3032,Gjerdrum,30,Viken,6890,2
2020-03-26,2020-03-26T04:00:00Z,3033,Ullensaker,,,3033,Ullensaker,30,Viken,39625,26
2020-03-26,2020-03-26T04:00:00Z,3034,Nes,,,3034,Nes,30,Viken,23092,7
2020-03-26,2020-03-26T04:00:00Z,3035,Eidsvoll,,,3035,Eidsvoll,30,Viken,25436,20
2020-03-26,2020-03-26T04:00:00Z,3036,Nannestad,,,3036,Nannestad,30,Viken,14139,8
2020-03-26,2020-03-26T04:00:00Z,3037,Hurdal,,,3037,Hurdal,30,Viken,2854,1
2020-03-26,2020-03-26T04:00:00Z,3038,Hole,,,3038,Hole,30,Viken,6799,7
2020-03-26,2020-03-26T04:00:00Z,3039,Flå,,,3039,Flå,30,Viken,1050,1
2020-03-26,2020-03-26T04:00:00Z,3040,Nesbyen,,,3040,Nesbyen,30,Viken,3273,2
2020-03-26,2020-03-26T04:00:00Z,3041,Gol,,,3041,Gol,30,Viken,4608,4
2020-03-26,2020-03-26T04:00:00Z,3042,Hemsedal,,,3042,Hemsedal,30,Viken,2486,7
2020-03-26,2020-03-26T04:00:00Z,3043,Ål,,,3043,Ål,30,Viken,4674,5
2020-03-26,2020-03-26T04:00:00Z,3044,Hol,,,3044,Hol,30,Viken,4441,24
2020-03-26,2020-03-26T04:00:00Z,3045,Sigdal,,,3045,Sigdal,30,Viken,3467,0
2020-03-26,2020-03-26T04:00:00Z,3046,Krødsherad,,,3046,Krødsherad,30,Viken,2212,0
2020-03-26,2020-03-26T04:00:00Z,3047,Modum,,,3047,Modum,30,Viken,14115,3
2020-03-26,2020-03-26T04:00:00Z,3048,Øvre Eiker,,,3048,Øvre Eiker,30,Viken,19423,2
2020-03-26,2020-03-26T04:00:00Z,3049,Lier,,,3049,Lier,30,Viken,26811,13
2020-03-26,2020-03-26T04:00:00Z,3050,Flesberg,,,3050,Flesberg,30,Viken,2688,1
2020-03-26,2020-03-26T04:00:00Z,3051,Rollag,,,3051,Rollag,30,Viken,1390,0
2020-03-26,2020-03-26T04:00:00Z,3052,Nore og Uvdal,,,3052,Nore og Uvdal,30,Viken,2439,1
2020-03-26,2020-03-26T04:00:00Z,3053,Jevnaker,,,3053,Jevnaker,30,Viken,6852,5
2020-03-26,2020-03-26T04:00:00Z,3054,Lunner,,,3054,Lunner,30,Viken,9048,2
2020-03-26,2020-03-26T04:00:00Z,3401,Kongsvinger,,,3401,Kongsvinger,34,Innlandet,17829,0
2020-03-26,2020-03-26T04:00:00Z,3403,Hamar,,,3403,Hamar,34,Innlandet,31369,15
2020-03-26,2020-03-26T04:00:00Z,3405,Lillehammer,,,3405,Lillehammer,34,Innlandet,28345,13
2020-03-26,2020-03-26T04:00:00Z,3407,Gjøvik,,,3407,Gjøvik,34,Innlandet,30560,7
2020-03-26,2020-03-26T04:00:00Z,3411,Ringsaker,,,3411,Ringsaker,34,Innlandet,34768,25
2020-03-26,2020-03-26T04:00:00Z,3412,Løten,,,3412,Løten,34,Innlandet,7674,3
2020-03-26,2020-03-26T04:00:00Z,3413,Stange,,,3413,Stange,34,Innlandet,21064,2
2020-03-26,2020-03-26T04:00:00Z,3414,Nord-Odal,,,3414,Nord-Odal,34,Innlandet,5016,0
2020-03-26,2020-03-26T04:00:00Z,3415,Sør-Odal,,,3415,Sør-Odal,34,Innlandet,7905,8
2020-03-26,2020-03-26T04:00:00Z,3416,Eidskog,,,3416,Eidskog,34,Innlandet,6106,3
2020-03-26,2020-03-26T04:00:00Z,3417,Grue,,,3417,Grue,34,Innlandet,4612,0
2020-03-26,2020-03-26T04:00:00Z,3418,Åsnes,,,3418,Åsnes,34,Innlandet,7203,1
2020-03-26,2020-03-26T04:00:00Z,3419,Våler (Innlandet),,,3419,Våler (Innlandet),34,Innlandet,3662,1
2020-03-26,2020-03-26T04:00:00Z,3420,Elverum,,,3420,Elverum,34,Innlandet,21254,5
2020-03-26,2020-03-26T04:00:00Z,3421,Trysil,,,3421,Trysil,34,Innlandet,6627,0
2020-03-26,2020-03-26T04:00:00Z,3422,Åmot,,,3422,Åmot,34,Innlandet,4356,1
2020-03-26,2020-03-26T04:00:00Z,3423,Stor-Elvdal,,,3423,Stor-Elvdal,34,Innlandet,2419,0
2020-03-26,2020-03-26T04:00:00Z,3424,Rendalen,,,3424,Rendalen,34,Innlandet,1780,0
2020-03-26,2020-03-26T04:00:00Z,3425,Engerdal,,,3425,Engerdal,34,Innlandet,1268,1
2020-03-26,2020-03-26T04:00:00Z,3426,Tolga,,,3426,Tolga,34,Innlandet,1562,0
2020-03-26,2020-03-26T04:00:00Z,3427,Tynset,,,3427,Tynset,34,Innlandet,5578,0
2020-03-26,2020-03-26T04:00:00Z,3428,Alvdal,,,3428,Alvdal,34,Innlandet,2432,1
2020-03-26,2020-03-26T04:00:00Z,3429,Folldal,,,3429,Folldal,34,Innlandet,1545,0
2020-03-26,2020-03-26T04:00:00Z,3430,Os,,,3430,Os,34,Innlandet,1891,0
2020-03-26,2020-03-26T04:00:00Z,3431,Dovre,,,3431,Dovre,34,Innlandet,2553,1
2020-03-26,2020-03-26T04:00:00Z,3432,Lesja,,,3432,Lesja,34,Innlandet,1975,0
2020-03-26,2020-03-26T04:00:00Z,3433,Skjåk,,,3433,Skjåk,34,Innlandet,2197,1
2020-03-26,2020-03-26T04:00:00Z,3434,Lom,,,3434,Lom,34,Innlandet,2228,0
2020-03-26,2020-03-26T04:00:00Z,3435,Vågå,,,3435,Vågå,34,Innlandet,3570,1
2020-03-26,2020-03-26T04:00:00Z,3436,Nord-Fron,,,3436,Nord-Fron,34,Innlandet,5723,6
2020-03-26,2020-03-26T04:00:00Z,3437,Sel,,,3437,Sel,34,Innlandet,5739,34
2020-03-26,2020-03-26T04:00:00Z,3438,Sør-Fron,,,3438,Sør-Fron,34,Innlandet,3119,0
2020-03-26,2020-03-26T04:00:00Z,3439,Ringebu,,,3439,Ringebu,34,Innlandet,4392,4
2020-03-26,2020-03-26T04:00:00Z,3440,Øyer,,,3440,Øyer,34,Innlandet,5100,0
2020-03-26,2020-03-26T04:00:00Z,3441,Gausdal,,,3441,Gausdal,34,Innlandet,6106,3
2020-03-26,2020-03-26T04:00:00Z,3442,Østre Toten,,,3442,Østre Toten,34,Innlandet,14973,3
2020-03-26,2020-03-26T04:00:00Z,3443,Vestre Toten,,,3443,Vestre Toten,34,Innlandet,13427,2
2020-03-26,2020-03-26T04:00:00Z,3446,Gran,,,3446,Gran,34,Innlandet,13630,0
2020-03-26,2020-03-26T04:00:00Z,3447,Søndre Land,,,3447,Søndre Land,34,Innlandet,5617,0
2020-03-26,2020-03-26T04:00:00Z,3448,Nordre Land,,,3448,Nordre Land,34,Innlandet,6633,0
2020-03-26,2020-03-26T04:00:00Z,3449,Sør-Aurdal,,,3449,Sør-Aurdal,34,Innlandet,2954,0
2020-03-26,2020-03-26T04:00:00Z,3450,Etnedal,,,3450,Etnedal,34,Innlandet,1279,0
2020-03-26,2020-03-26T04:00:00Z,3451,Nord-Aurdal,,,3451,Nord-Aurdal,34,Innlandet,6413,5
2020-03-26,2020-03-26T04:00:00Z,3452,Vestre Slidre,,,3452,Vestre Slidre,34,Innlandet,2125,0
2020-03-26,2020-03-26T04:00:00Z,3453,Øystre Slidre,,,3453,Øystre Slidre,34,Innlandet,3229,0
2020-03-26,2020-03-26T04:00:00Z,3454,Vang,,,3454,Vang,34,Innlandet,1578,0
2020-03-26,2020-03-26T04:00:00Z,3801,Horten,,,3801,Horten,38,Vestfold og Telemark,27351,15
2020-03-26,2020-03-26T04:00:00Z,3802,Holmestrand,,,3802,Holmestrand,38,Vestfold og Telemark,24699,10
2020-03-26,2020-03-26T04:00:00Z,3803,Tønsberg,,,3803,Tønsberg,38,Vestfold og Telemark,56293,18
2020-03-26,2020-03-26T04:00:00Z,3804,Sandefjord,,,3804,Sandefjord,38,Vestfold og Telemark,63764,20
2020-03-26,2020-03-26T04:00:00Z,3805,Larvik,,,3805,Larvik,38,Vestfold og Telemark,47204,5
2020-03-26,2020-03-26T04:00:00Z,3806,Porsgrunn,,,3806,Porsgrunn,38,Vestfold og Telemark,36397,5
