date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-04-03,2020-04-03T17:00:00Z,3011,Hvaler,NA,NA,3011,Hvaler,30,Viken,4668,2
2020-04-03,2020-04-03T17:00:00Z,3012,Aremark,NA,NA,3012,Aremark,30,Viken,1325,1
2020-04-03,2020-04-03T17:00:00Z,3013,Marker,NA,NA,3013,Marker,30,Viken,3595,1
2020-04-03,2020-04-03T17:00:00Z,3014,Indre Østfold,NA,NA,3014,Indre Østfold,30,Viken,44792,42
2020-04-03,2020-04-03T17:00:00Z,3015,Skiptvet,NA,NA,3015,Skiptvet,30,Viken,3805,1
2020-04-03,2020-04-03T17:00:00Z,3016,Rakkestad,NA,NA,3016,Rakkestad,30,Viken,8255,1
2020-04-03,2020-04-03T17:00:00Z,3017,Råde,NA,NA,3017,Råde,30,Viken,7508,2
2020-04-03,2020-04-03T17:00:00Z,3018,Våler (Viken),NA,NA,3018,Våler (Viken),30,Viken,5736,5
2020-04-03,2020-04-03T17:00:00Z,3019,Vestby,NA,NA,3019,Vestby,30,Viken,18042,20
2020-04-03,2020-04-03T17:00:00Z,3020,Nordre Follo,NA,NA,3020,Nordre Follo,30,Viken,59288,86
2020-04-03,2020-04-03T17:00:00Z,3021,Ås,NA,NA,3021,Ås,30,Viken,20439,16
2020-04-03,2020-04-03T17:00:00Z,3022,Frogn,NA,NA,3022,Frogn,30,Viken,15877,16
2020-04-03,2020-04-03T17:00:00Z,3023,Nesodden,NA,NA,3023,Nesodden,30,Viken,19616,41
2020-04-03,2020-04-03T17:00:00Z,3024,Bærum,NA,NA,3024,Bærum,30,Viken,127731,300
2020-04-03,2020-04-03T17:00:00Z,3025,Asker,NA,NA,3025,Asker,30,Viken,94441,127
2020-04-03,2020-04-03T17:00:00Z,3026,Aurskog-Høland,NA,NA,3026,Aurskog-Høland,30,Viken,17390,4
2020-04-03,2020-04-03T17:00:00Z,3027,Rælingen,NA,NA,3027,Rælingen,30,Viken,18530,16
2020-04-03,2020-04-03T17:00:00Z,3028,Enebakk,NA,NA,3028,Enebakk,30,Viken,11110,21
2020-04-03,2020-04-03T17:00:00Z,3029,Lørenskog,NA,NA,3029,Lørenskog,30,Viken,41460,64
2020-04-03,2020-04-03T17:00:00Z,3030,Lillestrøm,NA,NA,3030,Lillestrøm,30,Viken,85983,115
2020-04-03,2020-04-03T17:00:00Z,3031,Nittedal,NA,NA,3031,Nittedal,30,Viken,24249,43
2020-04-03,2020-04-03T17:00:00Z,3032,Gjerdrum,NA,NA,3032,Gjerdrum,30,Viken,6890,6
2020-04-03,2020-04-03T17:00:00Z,3033,Ullensaker,NA,NA,3033,Ullensaker,30,Viken,39625,46
2020-04-03,2020-04-03T17:00:00Z,3034,Nes,NA,NA,3034,Nes,30,Viken,23092,10
2020-04-03,2020-04-03T17:00:00Z,3035,Eidsvoll,NA,NA,3035,Eidsvoll,30,Viken,25436,27
2020-04-03,2020-04-03T17:00:00Z,3036,Nannestad,NA,NA,3036,Nannestad,30,Viken,14139,14
2020-04-03,2020-04-03T17:00:00Z,3037,Hurdal,NA,NA,3037,Hurdal,30,Viken,2854,2
2020-04-03,2020-04-03T17:00:00Z,3038,Hole,NA,NA,3038,Hole,30,Viken,6799,10
2020-04-03,2020-04-03T17:00:00Z,3039,Flå,NA,NA,3039,Flå,30,Viken,1050,1
2020-04-03,2020-04-03T17:00:00Z,3040,Nesbyen,NA,NA,3040,Nesbyen,30,Viken,3273,5
2020-04-03,2020-04-03T17:00:00Z,3041,Gol,NA,NA,3041,Gol,30,Viken,4608,9
2020-04-03,2020-04-03T17:00:00Z,3042,Hemsedal,NA,NA,3042,Hemsedal,30,Viken,2486,8
2020-04-03,2020-04-03T17:00:00Z,3043,Ål,NA,NA,3043,Ål,30,Viken,4674,11
2020-04-03,2020-04-03T17:00:00Z,3044,Hol,NA,NA,3044,Hol,30,Viken,4441,43
2020-04-03,2020-04-03T17:00:00Z,3045,Sigdal,NA,NA,3045,Sigdal,30,Viken,3467,0
2020-04-03,2020-04-03T17:00:00Z,3046,Krødsherad,NA,NA,3046,Krødsherad,30,Viken,2212,0
2020-04-03,2020-04-03T17:00:00Z,3047,Modum,NA,NA,3047,Modum,30,Viken,14115,9
2020-04-03,2020-04-03T17:00:00Z,3048,Øvre Eiker,NA,NA,3048,Øvre Eiker,30,Viken,19423,4
2020-04-03,2020-04-03T17:00:00Z,3049,Lier,NA,NA,3049,Lier,30,Viken,26811,22
2020-04-03,2020-04-03T17:00:00Z,3050,Flesberg,NA,NA,3050,Flesberg,30,Viken,2688,1
2020-04-03,2020-04-03T17:00:00Z,3051,Rollag,NA,NA,3051,Rollag,30,Viken,1390,0
2020-04-03,2020-04-03T17:00:00Z,3052,Nore og Uvdal,NA,NA,3052,Nore og Uvdal,30,Viken,2439,1
2020-04-03,2020-04-03T17:00:00Z,3053,Jevnaker,NA,NA,3053,Jevnaker,30,Viken,6852,5
2020-04-03,2020-04-03T17:00:00Z,3054,Lunner,NA,NA,3054,Lunner,30,Viken,9048,9
2020-04-03,2020-04-03T17:00:00Z,3401,Kongsvinger,NA,NA,3401,Kongsvinger,34,Innlandet,17829,1
2020-04-03,2020-04-03T17:00:00Z,3403,Hamar,NA,NA,3403,Hamar,34,Innlandet,31369,67
2020-04-03,2020-04-03T17:00:00Z,3405,Lillehammer,NA,NA,3405,Lillehammer,34,Innlandet,28345,29
2020-04-03,2020-04-03T17:00:00Z,3407,Gjøvik,NA,NA,3407,Gjøvik,34,Innlandet,30560,14
2020-04-03,2020-04-03T17:00:00Z,3411,Ringsaker,NA,NA,3411,Ringsaker,34,Innlandet,34768,56
2020-04-03,2020-04-03T17:00:00Z,3412,Løten,NA,NA,3412,Løten,34,Innlandet,7674,11
2020-04-03,2020-04-03T17:00:00Z,3413,Stange,NA,NA,3413,Stange,34,Innlandet,21064,31
2020-04-03,2020-04-03T17:00:00Z,3414,Nord-Odal,NA,NA,3414,Nord-Odal,34,Innlandet,5016,0
2020-04-03,2020-04-03T17:00:00Z,3415,Sør-Odal,NA,NA,3415,Sør-Odal,34,Innlandet,7905,10
2020-04-03,2020-04-03T17:00:00Z,3416,Eidskog,NA,NA,3416,Eidskog,34,Innlandet,6106,3
2020-04-03,2020-04-03T17:00:00Z,3417,Grue,NA,NA,3417,Grue,34,Innlandet,4612,5
2020-04-03,2020-04-03T17:00:00Z,3418,Åsnes,NA,NA,3418,Åsnes,34,Innlandet,7203,3
2020-04-03,2020-04-03T17:00:00Z,3419,Våler (Innlandet),NA,NA,3419,Våler (Innlandet),34,Innlandet,3662,1
2020-04-03,2020-04-03T17:00:00Z,3420,Elverum,NA,NA,3420,Elverum,34,Innlandet,21254,11
2020-04-03,2020-04-03T17:00:00Z,3421,Trysil,NA,NA,3421,Trysil,34,Innlandet,6627,2
2020-04-03,2020-04-03T17:00:00Z,3422,Åmot,NA,NA,3422,Åmot,34,Innlandet,4356,2
2020-04-03,2020-04-03T17:00:00Z,3423,Stor-Elvdal,NA,NA,3423,Stor-Elvdal,34,Innlandet,2419,0
2020-04-03,2020-04-03T17:00:00Z,3424,Rendalen,NA,NA,3424,Rendalen,34,Innlandet,1780,0
2020-04-03,2020-04-03T17:00:00Z,3425,Engerdal,NA,NA,3425,Engerdal,34,Innlandet,1268,2
2020-04-03,2020-04-03T17:00:00Z,3426,Tolga,NA,NA,3426,Tolga,34,Innlandet,1562,0
2020-04-03,2020-04-03T17:00:00Z,3427,Tynset,NA,NA,3427,Tynset,34,Innlandet,5578,0
2020-04-03,2020-04-03T17:00:00Z,3428,Alvdal,NA,NA,3428,Alvdal,34,Innlandet,2432,1
2020-04-03,2020-04-03T17:00:00Z,3429,Folldal,NA,NA,3429,Folldal,34,Innlandet,1545,0
2020-04-03,2020-04-03T17:00:00Z,3430,Os,NA,NA,3430,Os,34,Innlandet,1891,0
2020-04-03,2020-04-03T17:00:00Z,3431,Dovre,NA,NA,3431,Dovre,34,Innlandet,2553,5
2020-04-03,2020-04-03T17:00:00Z,3432,Lesja,NA,NA,3432,Lesja,34,Innlandet,1975,2
2020-04-03,2020-04-03T17:00:00Z,3433,Skjåk,NA,NA,3433,Skjåk,34,Innlandet,2197,1
2020-04-03,2020-04-03T17:00:00Z,3434,Lom,NA,NA,3434,Lom,34,Innlandet,2228,3
2020-04-03,2020-04-03T17:00:00Z,3435,Vågå,NA,NA,3435,Vågå,34,Innlandet,3570,1
2020-04-03,2020-04-03T17:00:00Z,3436,Nord-Fron,NA,NA,3436,Nord-Fron,34,Innlandet,5723,13
2020-04-03,2020-04-03T17:00:00Z,3437,Sel,NA,NA,3437,Sel,34,Innlandet,5739,36
2020-04-03,2020-04-03T17:00:00Z,3438,Sør-Fron,NA,NA,3438,Sør-Fron,34,Innlandet,3119,1
2020-04-03,2020-04-03T17:00:00Z,3439,Ringebu,NA,NA,3439,Ringebu,34,Innlandet,4392,8
2020-04-03,2020-04-03T17:00:00Z,3440,Øyer,NA,NA,3440,Øyer,34,Innlandet,5100,1
2020-04-03,2020-04-03T17:00:00Z,3441,Gausdal,NA,NA,3441,Gausdal,34,Innlandet,6106,5
2020-04-03,2020-04-03T17:00:00Z,3442,Østre Toten,NA,NA,3442,Østre Toten,34,Innlandet,14973,4
2020-04-03,2020-04-03T17:00:00Z,3443,Vestre Toten,NA,NA,3443,Vestre Toten,34,Innlandet,13427,10
2020-04-03,2020-04-03T17:00:00Z,3446,Gran,NA,NA,3446,Gran,34,Innlandet,13630,9
2020-04-03,2020-04-03T17:00:00Z,3447,Søndre Land,NA,NA,3447,Søndre Land,34,Innlandet,5617,0
2020-04-03,2020-04-03T17:00:00Z,3448,Nordre Land,NA,NA,3448,Nordre Land,34,Innlandet,6633,1
2020-04-03,2020-04-03T17:00:00Z,3449,Sør-Aurdal,NA,NA,3449,Sør-Aurdal,34,Innlandet,2954,0
2020-04-03,2020-04-03T17:00:00Z,3450,Etnedal,NA,NA,3450,Etnedal,34,Innlandet,1279,0
2020-04-03,2020-04-03T17:00:00Z,3451,Nord-Aurdal,NA,NA,3451,Nord-Aurdal,34,Innlandet,6413,8
2020-04-03,2020-04-03T17:00:00Z,3452,Vestre Slidre,NA,NA,3452,Vestre Slidre,34,Innlandet,2125,0
2020-04-03,2020-04-03T17:00:00Z,3453,Øystre Slidre,NA,NA,3453,Øystre Slidre,34,Innlandet,3229,0
2020-04-03,2020-04-03T17:00:00Z,3454,Vang,NA,NA,3454,Vang,34,Innlandet,1578,0
2020-04-03,2020-04-03T17:00:00Z,3801,Horten,NA,NA,3801,Horten,38,Vestfold og Telemark,27351,19
2020-04-03,2020-04-03T17:00:00Z,3802,Holmestrand,NA,NA,3802,Holmestrand,38,Vestfold og Telemark,24699,17
2020-04-03,2020-04-03T17:00:00Z,3803,Tønsberg,NA,NA,3803,Tønsberg,38,Vestfold og Telemark,56293,43
2020-04-03,2020-04-03T17:00:00Z,3804,Sandefjord,NA,NA,3804,Sandefjord,38,Vestfold og Telemark,63764,31
2020-04-03,2020-04-03T17:00:00Z,3805,Larvik,NA,NA,3805,Larvik,38,Vestfold og Telemark,47204,14
2020-04-03,2020-04-03T17:00:00Z,3806,Porsgrunn,NA,NA,3806,Porsgrunn,38,Vestfold og Telemark,36397,7
2020-04-03,2020-04-03T17:00:00Z,3807,Skien,NA,NA,3807,Skien,38,Vestfold og Telemark,54942,37
2020-04-03,2020-04-03T17:00:00Z,3808,Notodden,NA,NA,3808,Notodden,38,Vestfold og Telemark,13049,4
2020-04-03,2020-04-03T17:00:00Z,3811,Færder,NA,NA,3811,Færder,38,Vestfold og Telemark,26730,20
2020-04-03,2020-04-03T17:00:00Z,3812,Siljan,NA,NA,3812,Siljan,38,Vestfold og Telemark,2340,2
2020-04-03,2020-04-03T17:00:00Z,3813,Bamble,NA,NA,3813,Bamble,38,Vestfold og Telemark,14061,5
2020-04-03,2020-04-03T17:00:00Z,3814,Kragerø,NA,NA,3814,Kragerø,38,Vestfold og Telemark,10380,1
2020-04-03,2020-04-03T17:00:00Z,3815,Drangedal,NA,NA,3815,Drangedal,38,Vestfold og Telemark,4060,1
2020-04-03,2020-04-03T17:00:00Z,3816,Nome,NA,NA,3816,Nome,38,Vestfold og Telemark,6515,1
2020-04-03,2020-04-03T17:00:00Z,3817,Midt-Telemark,NA,NA,3817,Midt-Telemark,38,Vestfold og Telemark,10444,0
2020-04-03,2020-04-03T17:00:00Z,3818,Tinn,NA,NA,3818,Tinn,38,Vestfold og Telemark,5691,1
2020-04-03,2020-04-03T17:00:00Z,3819,Hjartdal,NA,NA,3819,Hjartdal,38,Vestfold og Telemark,1573,0
2020-04-03,2020-04-03T17:00:00Z,3820,Seljord,NA,NA,3820,Seljord,38,Vestfold og Telemark,2888,0
2020-04-03,2020-04-03T17:00:00Z,3821,Kviteseid,NA,NA,3821,Kviteseid,38,Vestfold og Telemark,2403,0
2020-04-03,2020-04-03T17:00:00Z,3822,Nissedal,NA,NA,3822,Nissedal,38,Vestfold og Telemark,1448,0
2020-04-03,2020-04-03T17:00:00Z,3823,Fyresdal,NA,NA,3823,Fyresdal,38,Vestfold og Telemark,1287,0
2020-04-03,2020-04-03T17:00:00Z,3824,Tokke,NA,NA,3824,Tokke,38,Vestfold og Telemark,2201,0
2020-04-03,2020-04-03T17:00:00Z,3825,Vinje,NA,NA,3825,Vinje,38,Vestfold og Telemark,3676,2
2020-04-03,2020-04-03T17:00:00Z,4201,Risør,NA,NA,4201,Risør,42,Agder,6809,0
2020-04-03,2020-04-03T17:00:00Z,4202,Grimstad,NA,NA,4202,Grimstad,42,Agder,23544,1
2020-04-03,2020-04-03T17:00:00Z,4203,Arendal,NA,NA,4203,Arendal,42,Agder,44999,22
