kommune_bydel_no,kommune_bydel_name,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26
3825,Vinje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4201,Risør,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4202,Grimstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4203,Arendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
4204,Kristiansand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
4205,Lindesnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4206,Farsund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
4207,Flekkefjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4211,Gjerstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4212,Vegårshei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4213,Tvedestrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4214,Froland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4215,Lillesand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4216,Birkenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4217,Åmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4218,Iveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4219,Evje og Hornnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4220,Bygland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4221,Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4222,Bykle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4223,Vennesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4224,Åseral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4225,Lyngdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4226,Hægebostad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4227,Kvinesdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4228,Sirdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
460101,Arna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
460102,Bergenhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
460103,Fana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
460104,Fyllingsdalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
460105,Laksevåg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
460106,Ytrebygda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
460107,Årstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
460108,Åsane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
460199,Ukjent Bydel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
4602,Kinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4611,Etne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4612,Sveio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4613,Bømlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4614,Stord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4615,Fitjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4616,Tysnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4617,Kvinnherad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4618,Ullensvang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4619,Eidfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4620,Ulvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4621,Voss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
4622,Kvam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4623,Samnanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4624,Bjørnafjorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
4625,Austevoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4626,Øygarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
4627,Askøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
4628,Vaksdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4629,Modalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4630,Osterøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4631,Alver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4632,Austrheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4633,Fedje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4634,Masfjorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4635,Gulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4636,Solund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4637,Hyllestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4638,Høyanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4639,Vik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4640,Sogndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
4641,Aurland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4642,Lærdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4643,Årdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4644,Luster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4645,Askvoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4646,Fjaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4647,Sunnfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
4648,Bremanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4649,Stad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4650,Gloppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4651,Stryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
5001,Trondheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
5006,Steinkjer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
5007,Namsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5014,Frøya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5020,Osen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5021,Oppdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
5022,Rennebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5025,Røros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5026,Holtålen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5027,Midtre Gauldal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5028,Melhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5029,Skaun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5031,Malvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5032,Selbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5033,Tydal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5034,Meråker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5035,Stjørdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5036,Frosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
5037,Levanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
5038,Verdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
5041,Snåsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5042,Lierne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5043,Røyrvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
