organisation_number,company_name,Kommune,Fylke,n_employees
813095092,NILLE AS AVD INDERØY,Inderøy,Trøndelag - Trööndelage,1
813108062,BASSAM GHANEM,Oslo,Oslo,1
813108712,SALONG M2,Eidskog,Innlandet,1
813119692,BARTENDERUTLEIE AS,Stavanger,Rogaland,9
813120402,SAYSO HAIR & STYLE AS AVD EIDSVOLL,Eidsvoll,Viken,6
813124882,OLSENS FESKEMAT AS,Berlevåg,Troms og Finnmark - Romsa ja Finnmárku,1
813127032,SPORT 1 NITTEDAL,Nittedal,Viken,4
813127202,AGDER KAROSSERI AS,Grimstad,Agder,11
813128632,TANNLEGE JON EGIL T. FIANE AS,Arendal,Agder,1
813134772,RH CONSULT AS,Stord,Vestland,1
813135582,W. GIERTSEN ENERGY SOLUTIONS AS,Bergen,Vestland,1
813142252,STILA INTERIØR & STYLING AS,Bærum,Viken,2
813143372,ABDIKADIR AHMED,Drammen,Viken,1
813146282,MASS MADE AS,Bærum,Viken,1
813147742,BERNH SKAU AS,Skien,Vestfold og Telemark,1
813149192,BRUKET ARKITEKTUR AS,Voss,Vestland,3
813172402,SOHAIL AKRAM TAXIDRIFT,Nordre Follo,Viken,1
813176912,MANUELLTERAPI SVOLVÆR AS,Vågan,Nordland,1
813180162,FUNKY FROZEN YOGURT AS AVD M44 BRYNE,Time,Rogaland,7
813183412,STYRKEPRØVEN AS,Oslo,Oslo,3
813186942,FLOORDESIGN EXPRESSIONS AS,Oslo,Oslo,3
813187582,UHØRT AS,Oslo,Oslo,9
813188732,E&T'S AS,Eidsvoll,Viken,4
813191962,STEMLANDKLINIKKEN AS,Oslo,Oslo,2
813192772,KULTURHUSET ØSTRE AS,Bergen,Vestland,11
813193302,ISS FACILITY SERVICES AS AVD 422024 DNV VERITAS,Bergen,Vestland,1
813193442,ISS FACILITY SERVICES AS AVD 416516,Drammen,Viken,5
813193612,STONEFEATHER POWR CORPORATION LTD,Oslo,Oslo,3
813196352,JONN SKAAR SERVICE AS,Ringerike,Viken,5
813205092,MORILD INTERDESIGN AS,Drammen,Viken,3
813214962,HODEGOS AS,Oslo,Oslo,1
813215292,MATMEDHJERTE AS,Sula,Møre og Romsdal,1
813215462,WASSGREN CONSULT AS,Trysil,Innlandet,1
813217082,CELSIUS GLASS STUDIO AS,Sula,Møre og Romsdal,1
813219352,VESTERELVA & VIDDAS HUSKY,Unjárga - Nesseby,Troms og Finnmark - Romsa ja Finnmárku,2
813220202,GALÅVOLDEN GÅRD AS,Røros,Trøndelag - Trööndelage,6
813220652,ELVERUM ANLEGGSERVICE AS,Elverum,Innlandet,1
813220962,KROKFRAKT AS,Namsos,Trøndelag - Trööndelage,1
813223392,FINE MØBLER & INTERIØR AS,Haugesund,Rogaland,5
813225492,HH BYGLAND AS,Bygland,Agder,5
813226782,SNEKKERNORD AS,Eidsvoll,Viken,3
813235692,IDRETTSRÅDET STAVANGER,Stavanger,Rogaland,3
813239582,SERVICES4HIRE AS,Lillestrøm,Viken,1
813243342,ALBMI ADVENTURES AS,Beiarn,Nordland,1
813243482,KATO BYGG SERVICE AS,Bergen,Vestland,4
813246732,LAVAREX AS,Eidsvoll,Viken,3
813248492,TORJUSEN BRANNSERVICE AS,Risør,Agder,2
813260492,ONLY STORES NORWAY AS AVD 5 ONLY SØRLANDSSENTERET,Kristiansand,Agder,7
813261782,TINE SA AVD TYNSET,Tynset,Innlandet,5
813261952,TINE SA AVD LILLEHAMMER,Lillehammer,Innlandet,3
813262452,KJØKKENDRIFT NO 1 FØRDE AS,Sunnfjord,Vestland,6
813264242,SAC AS,Sandnes,Rogaland,1
813269872,HJERTEROM TANA AS,Deatnu - Tana,Troms og Finnmark - Romsa ja Finnmárku,2
813272822,RAGLAMYR TANNREGULERING AS,Haugesund,Rogaland,4
813275392,LASHES BY KASJA AS,Oslo,Oslo,14
813282542,TVARE MEDIA AS,Oslo,Oslo,1
813289482,T&V BYGG AS,Nordre Follo,Viken,1
813290502,TINY TROLLS OF NORWAY AS,Bjørnafjorden,Vestland,1
813292122,MILJØPUNKTET AS,Oslo,Oslo,1
813298872,AVINOR FLYSIKRING AS AVD BODØ,Bodø,Nordland,19
813298902,AVINOR FLYSIKRING AS AVD HOVEDKONTOR OSLO,Oslo,Oslo,39
813311402,MILJØ ENERGIBORING AS,Nes,Viken,3
813318962,VELA,Moss,Viken,5
813348292,KJUUS EIENDOM AS,Nordre Follo,Viken,2
813349132,DROMEDAR KAFFEBAR AVD 10 GALLERIET,Bergen,Vestland,7
813351692,WEX EUROPE SERVICES AS,Nordre Follo,Viken,3
813356392,FINGERN ER STILIG AS,Oslo,Oslo,1
813357712,SPORT 1 RISSA AS,Indre Fosen,Trøndelag - Trööndelage,2
813358042,MM TOTALBYGG AS,Bærum,Viken,3
813360152,LYKKELAND STEINKJER AS,Steinkjer,Trøndelag - Trööndelage,17
813361752,MEKMAGNUSSEN,Kristiansand,Agder,1
813363402,UNIKT GULV AS,Oslo,Oslo,2
813367092,KITCH'N FYLLINGSDALEN,Bergen,Vestland,5
813370972,A.C BYGG AS,Sarpsborg,Viken,1
813373742,MUSIKKDISTRIBUSJON AS,Indre Østfold,Viken,3
